စိတ် သဘောထားရှိသော	_natured (forming compound adjs)	adj
good -natuerd.	_natured (forming compound adjs)	adj
..သော နှာခေါင်း	_nosed	(forming c
ကပိုင်ဆိုင်သူဧကဝုစ်ဖြစ်ကြောင်းပြနောက်ဆက်	-'s	suff
ခတစ်စုံတစ်ခုသောအိမ်၊ဆိုင်စသည်သက်ဆိုင်မှုပြနောက်ဆက်	-'s	suff
နှင့်အဆုံးမသတ်သောဗဟုဝုစ်နာမ်များတွင်ပိုင်ဆိုင်မှု၊သက်ဆိုင်မှုကိုပြနောက်ဆက်	-'s	suff
ရံဖန်ရံခါတွင်ဗဟုဝုစ်ကိန်းသို့နာမ်ဖန်တီးရန်ထည့်သည့်နောက်ဆက်	-'s	suff
အစားအတိုကောက်	-'s	suff
နှင့်ကိုကိုယ်စားပြုသည့်နောက်ဆက်	-'s	suff
ရှေ့ဖော်ပြပါ ပုဂ္ဂိုလ်၊ ဒေသ စသည်တို့နှင့် တစု တပေါင်းတည်း ဖြစ်သော အရာဝတ္ထု၊ ပစ္စည်းကို ပြသော နောက်ဆက်စကား	-ana	suff
ကြိယာကို နာမ်ပုဒ်ပြောင်းပေးသော နောက်ဆက်	-ance	suff
… ခြင်း၊ … မှု စသည်	-ance	suff
သတ်မှုနှင့် ဆိုင်သော	-cidal	coidmb
သတ်ဖြတ်ခြင်း၊ သတ်မှု	-cide	coidmb
သတ်သည့်သူ	-cide	coidmb
သတ်သည့်အရာ	-cide	coidmb
သတ်ဆေး	-cide	coidmb
အစိုးရ	-cracy	coidmb
အုပ်ချုပ်ရေး	-cracy	coidmb
စနစ်၊ အစိုးရကို ထောက်ခံ သူ	-crat	coidmb
နာမ်ကို နာမဝသေသနပုဒ်အဖြစ် ဖန်တီး ပေးသော နောက်ဆက်	-en	suff
ဖြင့်လုပ်သော	-en	suff
ဖြစ်သော	-en	suff
နာမဝသေသနကို ကြိယာပုဒ်အဖြစ် ဖန်တီး ပေးသော နောက်ဆက်	-en	suff
လုပ်သည်	-en	suff
ဖြစ်စေသည်	-en	suff
ကြိယာကို နာမ်ပုဒ်ပြောင်းပေးသော နောက်ဆက်	-ence	suff
… ခြင်း၊ … မှု စသည်	-ence	suff
ဟန်ရှိသော	-esque	suff
ပုံ ပေါက်သော	-esque	suff
ဣတ္ထိလိင်ပြနောက်ဆက်	-ess	suff
မ	-ess	suff
အသာလွန်ဆုံး နာမဝသေသနပြ နောက်ဆက်	-est	suff
ဆုံး	-est	suff
အငယ်လေး	-ette	suff
အသေးလေး	-ette	suff
ပစ္စည်း အတု	-ette	suff
အမျိုးသမီး	-ette	suff
တစ်ဦးဆိုင်နာမ်များနှင့် ပေါင်းစပ်ခြင်းဖြင့် ns နှင့် adjsသို့ ပြောင်းပေးသည့် နောက်ဆက်စကား	-ian	suff
-ics အဆုံးရှိသော နာမ်များနှင့် ပေါင်းစပ်ခြင်းဖြင့် ns သို့ ပြောင်းပေးသည့် နောက်ဆက်စကား	-ian	suff
ရှေ့ဖော်ပြပါ ပုဂ္ဂိုလ်၊ ဒေသ စသည်တို့နှင့် တစု တပေါင်းတည်း ဖြစ်သော အရာဝတ္ထု၊ ပစ္စည်းကို ပြသော နောက်ဆက်စကား	-iana	suff
ဆေးပညာတစ်ခုခုနှင့် သက်ဆိုင် ကြောင်းပြသည့် နောက်ဆက်စကား	-iatrics	coidmb
ဆေးကုသမှုနည်းတစ်ခုခုနှင့်သက်ဆိုင်ကြောင်း ပြသည့် နောက်ဆက်စကား	-iatry	coidmb
ns ကို adjs နှင့်nsသို့ ပြောင်းပေးသည့် နောက်ဆက်စကား	-ic	suff
တစ်စုံတစ်ခုနှင့် သက်ဆိုင်သော၊ ဆန်သော၊ ရှိသော၊ ဖြစ်သော	-ic	suff
y အဆုံး ရှိသော vsကို adjs သို့ ပြောင်းပေးသည့် နောက်ဆက်စကား	-ic	suff
ဂုဏ်သတ္တိ တစ်စုံတစ်ရာ ရှိသော	-ic	suff
ကောင်းသော	-ical	suff
…ဆန်ဆန်	-ically	suff
နာမ်ပြုပစ္စည်း	-ics	suff
chemistry နာမ်ပြုပစ္စည်း	-ide	suff
ဓာတ်တစ်မျိုးမျိုး၏ ဓာတ်ပေါင်း အမည်	-ide	suff
forming compound adjs … ရှည်လျားသော	-length	adj
…အထိရှည်သော	-length	adj
ကင်းမဲ့လျက်	-lessly	adv
ခြေဆံ လက်ဆံ ရှည်သော၊ ပျော့ပျောင်းသောစသည်	-limbed	n
နာမဝသေသနမှ ကြိယာဝသေသနသို့ ပြောင်းရာတွင် နောက်ဆက်	-ly	suff
နာမ်မှ နာမဝသေန သို့ ပြောင်းရာတွင်နောက်ဆက်	-ly	suff
နာမ်မှ နာမဝသေသနနှင့် ကြိယာဝသေသနသို့ ပြောင်းရာတွင် နောက်ဆက်	-ly	suff
…သား	-man	coidmb
…သမား၊စောင့်၊မှူးစသည်	-man	coidmb
စိတ်ရောဂါတစ်မျိုးမျိုးခံစားနေရသူကိုရည်ညွှန်းသောစကား	-manaic	coidmb
စိတ်ရောဂါတစ်မျိုးမျိုးကိုရည်ညွှန်းသောစကား	-mania	coidmb
နာမ်ပြောင်းနောက်ဆက်	-ness	suff
ခြင်း	-ness	suff
မှု	-ness	suff
ပိုင်ဆိုင်သူဗဟုဝုစ်ဖြစ်ကြောင်းပြနောက်ဆက်	-s'	suff
ပိုင်ဆိုင်မှုကိုပြသောနောက်ဆက်	-s'	suff
