ကကတိုး	n	fork-tailed-catfish
ကကတစ္	n	giant-sea-perch
ကႀကိဳး	n	1.hardness-2.-music-for-dance
ကႀကိဳးတန္ဆာ	n	caparison
ကေခ်သည္	n	professional-dancer
ကစားကြက္	n	game-tactic
ကစားကြင္း	n	playground
ကစားခုန္စား	n	spots-and-games
ကစားစရာ	n	toy,-playing-thing
ကစားစရာဆိုင္	n	toyshop
ကစားဒိုင္	n	banker
ကစားေဖာ္	n	playmate
ကစားဝိုင္း	n	gambling-party
ကစားသမား	n	gambler
ကစားသူ	n	player
ကစားသည္	v	play
ကစီ	n	rice-puree
ကစီဓာတ္	n	starch,-carbohydrate
ကေစာ့ခါး	n	Indian-night-shade
ကေစာ္ရည္	n	farmentative-liquor
ကစဉ့္ကလ်ား	n	in-disorder
ကစြန္းဥ	n	sweet-potato
ကဆုန္ေပါက္သည္	v	gallop
ကဇာတ္	n	musical-play
ကညာ	n	young-maiden
ကညာစစ္သည္	v	do-things-delicately
ကညင္	n	large-tree,-yielding-wood-oil
ကညင္ဆီ	n	wood-oil
ကညင္ဆီတိုင္	n	wood-oil-torch
ကညစ္	n	stylus
ကညြတ္	n	asparagus
ကညွာေျမွး	n	hymen
ကဏန္း	n	crab
ကဏန္းလက္မ	n	chela
ကတိ	n	promise
ကတိခံထားေသာ	adj	promissory
ကတိခံဝန္ခ်ဳပ္	n	bond
ကတိစာခ်ဳပ္	n	agreement
ကတိတည္သည္	v	keep-promise
ကတိထားသည္	v	promise
ကတိေပးသည္	v	give-promise
ကတိပ်က္သည္	v	fail-to-keep-promise
ကတိျပဳသည္	v	make-promise
ကတိဖ်က္သည္	v	break-promise
ကတိဝန္ခံခ်က္	n	pledge
ကတိသစၥာျပဳသည္	v	take-oath
ကေတာ့	n	funnel
ကေတာ့ပုံ	n	conical-shape
ကေတာ္	n	wife-of-an-official
ကတို့	n	ferry-boat
ကတိုး	n	musk-deer
ကတိုက္ကရိုက္	adv	hastily
ကတည္းက	adv	since
ကတုတ္	n	breast-work
ကတုတ္က်င္း	n	bunker,-trench
ကတုန္ကယင္	adv	agitatedly
ကတုန္းကတိုက္လုပ္သည္	v	carry-tales
ကတိမ္းကပါးျဖစ္သည္	v	die,-pass-away
ကတုံး	n	bald-head
ကတုံးဆံေတာက္	n	crew-cut
ကတြတ္	n	hole-in-a-dyke
ကထိက	n	lecturer
ကနခို	n	purgative-croton
ကနဦး	n	the-beginning
ကနား	n	pavilion
ကနဳကမာ	nn	oyster-shell
ကနဴးေလွ	n	canoe
ကေနရီစာဝါငွက္	n	canary
ကေန့	n	Today
ကနြဲ့ကလ်လုပ္သည္	v	act-coaxingly
ကပိုကရို	adv	slovenly
ကျပအသုံးေတာ္ခံသူ	n	performer
ကျပား		n	half-caste
ကျပက္ကေခ်ာ္	adv	carelessly
ကျပင္	n	open-extension
ကေျပာင္းကျပန္	adv	disorderly
ကပြဲ	n	variety-entertainment
ကပြဲရုံ	n	theatre
ကဖီး	n	cafe,-tea-shop
ကဗ်ာ	n	poem,-verse
ကဗ်ာကယာ	adv	hurriedly
ကဗ်ာစပ္သည္	v	compose-a-poem
ကဗ်ာဆရာ	n	poet
ကဗ်ာဆရာမ	 n	poetess
ကဗ်ာဆန္ေသာ	adj	poetic
ကဗ်စ္ကညစ္	 adv	habbily
ကမကထလုပ္သည္	v	supervise,-lead
ကမာ	n	oyster
ကမူ	n	mound
ကမူးရႉးတိုး	adv	rashly
ကေမာက္ကမ	adv	in-disorder
ကမ်ဉ္းနီ	n	red-mite
ကျမင္းမ	n	hussy,-wanton
ကျမင္းသည္	v	be-wanton
ကယုကယ	adv	tenderly
ကေယာက္ကယက္	adv	in-confusion
ကေယာင္ကတမ္း	adv	ramblingly
ကေယာင္ေခ်ာက္ခ်ား	adv	ravingly
ကရမက္	n	bastard-sandal-wood
ကရာေတး	n	karate
ကရာေတးသမား	n	karatist
ကရား	n	jug
ကရိကထ	n	bother
ကရိကထခံသည္	v	take-trouble
ကရိကထမ်ားသည္	v	be-bother-some
ကရုဏာ	n	compassionace-grant
ကရုဏာသက္သည္	v	have-pity
ကေရဝး	n	cinnamon
ကေရဝးရြက္	n	bay-leaf
ကေရာေသာပါး	adv	hurriedly
ကေရာ္ကမည္	adv	flippantly
ကရက္	n	carat
ကရိန္း	n	crane
ကလတက္	n	hollowed-log
ကလနား	n	trim-on-cloth
ကလေမာင္း	n	pair-of-scale
ကလိထိုးသည္	v	tickle
ကလိသည္	v	annoy,-irritate
ကလီကမာလုပ္သည္	v	cheat
ကလီစာ	n	viscera
ကေလကေခ်	n	vegabond
ကေလး	n	child
ကေလးကလား	adv	improperly
ကေလးစာေပ	n	literature-for-children
ကေလးစိတ္	n	childish-temperament
ကေလးဆန္သည္	v	behave-childishly
ကေလးထိန္း	n	babysister
ကေလးပ်က္သည္	v	have-a-miscarriage
ကေလးဖ်က္သည္	v	abort
ကေလးလက္တြန္းလွည္း	n	pram
ကေလးသူငယ္	n	child,-infant
ကေလးသြားရည္ခံ	n	bid
ကလဲ့	n	turn
ကေလာ္ဆဲသည္	v	vituperate
ကေလာ္တုတ္သည္	v	abuse-roundly
ကေလာ္သည္	v	pick
ကလက္ေသာ	adj	frivolous
ကေလာင္	n	pen
ကေလာင္နာမည္	n	pen-name
ကေလာင္ရွင္	n	author,-writer
ကေလာင္သြား	n	pen-nib
ကလိုင္	n	hollow,-cavity
ကလစ္	n	clip
ကလန္ကဆန္	adv	rebelliously
ကလန္ကဆန္ေျပာသည္	v	speak-against
ကလန္ကလား	adv	gangling
ကလိန္းကလက္	adv	slyly
ကလပ္(စက္ပစၥည္းမ်ားတြင္သုံးေသာ)	n	clutch
ကလပ္(အသင္းအဖြဲ့)	n	club,-association
ကလပ္စည္း	n	cell
ကလိမ္က်သည္	v	cheat,-swindler
ကလိမ္ခ်ဳံ	n	swindler
ကလိမ္ဉာဏ္	n	cunning
ကလယ္ကလယ္ျဖစ္သည္	n	look-lost
ကလ်ာ	n	womanly-virtues
ကဝိ	n	man-of-letters,-poet
ကသိကေအာက္ျဖစ္သည္	v	feel-uneasy,-feel-uncomfortable
ကသီကရီ	adv	in-a-flurry
ကသီသည္	v	be-in-a-flurry
ကေသာကေမ်ာ	adv	hastily
ကေသာကေမ်ား	adv	hurriedly
ကေသာင္းကနင္း	adv	in-disarray
ကသစ္	n	large-deciduous-tree
ကသည္	v	dance
ကသည္	v	harness-a-horse-or-any-draught-animal-for-work(ကြၽဲ၊-နြား-စသည္ကို-လွည္းတြင္-တပ္သည္)
ကသိုဏ္း	n	object-of-concentration
ကသိုဏ္းရႈသည္	v	concentrate-intensely
